id,Name,ISIN,Sector,market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status,SEDOL,historical_comments
1174,RWE,DE0007037129,Electricity Utilities,Large,DEU,DEU,TRUE,published,4768962,
1175,SAIC motor,CNE000000TY6,Autos,Large,CHN,CHN,TRUE,published,BP3R2D9,
1224,Santos,AU000000STO6,Oil & Gas Distribution,Large,AUS,AUS,TRUE,published,6776703,
1196,Sappi,ZAE000006284,Paper,Medium,ZAF,ZAF,,published,6777007,
1171,Sasol,ZAE000006896,Other Basic Materials,Large,ZAF,ZAF,TRUE,published,6777450,
1179,Semen Indonesia,ID1000106800,Cement,Large,IDN,IDN,,published,6795236,
1180,Semirara Mining and Power,PHY7628G1124,Coal mining,Medium,PHL,PHL,,published,BQ13Z04,
1181,Sempra Energy,US8168511090,Electricity Utilities,Large,USA,USA,,published,2138158,
1214,Severstal,RU0009046510,Steel,Large,RUS,RUS,TRUE,published,B5B9C59,
1197,Shandong Chenming,CNE100000BK2,Paper,Medium,CHN,CHN,,published,6801832,
1184,Shougang Fushan Resources,HK0639031506,Coal Mining,Medium,HKG,HKG,,published,6354671,
1185,Shree Cements,INE070A01015,Cement,Large,IND,IND,,published,6100357,
1186,Siam Cement,TH0003010Z04,Cement,Large,THA,THA,,published,6609917,
1086,Siemens,DE0007236101,Other Industrials,Large,DEU,DEU,TRUE,published,5727973,
1279,Singapore Airlines,SG1V61937297,Airlines,Large,SGP,SGP,,published,6811734,
1188,SK Innovation,KR7096770003,Oil & Gas,Large,KOR,KOR,TRUE,published,B232R05,
1189,South32 (Coal Mining),AU000000S320,Coal Mining,Large,AUS,AUS,TRUE,published,BWSW5D9,
1190,Southern Company,US8425871071,Electricity Utilities,Large,USA,USA,TRUE,published,2829601,
1148,Southern Copper,US84265V1052,Other Basic Materials,Large,USA,USA,TRUE,published,2823777,
1280,Southwest,US8447411088,Airlines,Large,USA,USA,,published,2831543,
1192,SSAB,SE0000171100,Steel,Small,SWE,SWE,TRUE,published,B17H0S8,
1193,SSE,GB0007908733,Electricity Utilities,Large,GBR,GBR,TRUE,published,790873,
1215,St Gobain,FR0000125007,Other Industrials,Large,FRA,FRA,TRUE,published,7380482,
1195,Steel Dynamics,US8581191009,Steel,Medium,USA,USA,,published,2849472,
1200,Stora Enso,FI0009005961,Paper,Medium,FIN,FIN,,published,5072673,
1087,Subaru,"JP3814800003, JP3399750003",Autos,Large,JPN,JPN,,published,6356406,
1198,Sumitomo Osaka Cement,JP3400900001,Cement,Medium,JPN,JPN,,published,6858548,
1199,Suncor Energy,CA8672241079,Oil & Gas,Large,CAN,CAN,TRUE,published,B3NB1P2,
1201,Suzano Papel e Celulose,BRSUZBACNOR0,Paper,Large,BRA,BRA,TRUE,published,B02GKC7,
1090,Suzuki,"JP3397200001, JP3397210000",Autos,Large,JPN,JPN,TRUE,published,6865504,
1202,Taiheiyo Cement,JP3449020001,Cement,Medium,JPN,JPN,,published,6660204,
1203,Taiwan Cement,TW0001101004,Cement,Large,TWN,TWN,,published,6869937,
1298,Targa Resources,US87612G1013,Oil & Gas,Medium,USA,USA,,published,B55PZY3,
1205,Tata Steel,INE081A01012,Steel,Large,IND,IND,,published,6101156,
1206,TATNEFT,RU0009033591,Oil & Gas,Large,RUS,RUS,,published,B59BXN2,
1149,Teck Resources,CA8787422044,Other Basic Materials,Medium,CAN,CAN,TRUE,published,2879327,
1208,Tenaga Nasional,MYL5347OO009,Electricity Utilities,Large,MYS,MYS,,published,6904612,
1209,Tenaris,LU0156801721,Steel,Large,ITA,ITA,,published,7538515,
1301,TEPCO,JP3585800000,Electricity Utilities,Large,JPN,JPN,,published,6895404,
1302,Terna,IT0003242622,Electricity Utilities,Medium,ITA,ITA,,published,B01BN57,
1095,Tesla,US88160R1014,Autos,Large,USA,USA,,published,B616C79,
1176,ThyssenKrupp,DE0007500001,Steel,Large,DEU ,DEU ,TRUE,published,5636927,
1304,Tohoku Elec Power,JP3605400005,Electricity Utilities,Large,JPN,JPN,,published,6895266,
1042,Toray Industries,JP3621000003,Other Basic Materials,Large,JPN,JPN,TRUE,published,6897143,
1216,Total,FR0000120271,Oil & Gas,Large,FRA,FRA,TRUE,published,B15C557,
1097,Toyota,JP3633400001,Autos,Large,JPN,JPN,TRUE,published,6900643,
1229,Transcanada,CA89353D1078,Oil & Gas Distribution,Large,CAN,CAN,TRUE,published,2665184,TC Energy
1281,Turkish Airlines,TRATHYAO91M5,Airlines,Medium,TUR,TUR,,published,B03MYK0,
1292,UACJ,JP3826900007,Aluminium,Small,JPN,JPN,,published,B0N9WZ2,
1293,UC RUSAL,JE00B5BCW814,Aluminium,Large,HKG,HKG,,published,,
1219,UltraTech Cement,INE481G01011,Cement,Large,IND,IND,,published,B01GZF6,
1231,Unilever,"NL0000388619, NL0000009355",Consumer Goods,Large,NLD,NLD,TRUE,published,B1527V7,
1308,Uniper,DE000UNSE018,Electricity Utilities,Medium,DEU,DEU,,published,BZ6CZ43,
1123,United Continental,US9100471096,Airlines,Medium,USA,USA,TRUE,published,B4QG225,United Airlines Holdings Inc 
1222,United States Steel,US9129091081,Steel,Small,USA,USA,,published,2824770,
1261,United Technologies,US9130171096,Other Industrials,Large,USA,USA,TRUE,published,2915500,
1232,United Tractors,ID1000058407,Other Industrials,Large,IDN,IDN,TRUE,published,6230845,
1207,UPM-Kymmene,FI0009005987,Paper,Large,FIN,FIN,,published,5051252,
1226,Vale,BRVALEACNOR0,Coal Mining,Large,BRA,BRA,TRUE,published,2196286,
1227,Valero Energy,US91913Y1001,Oil & Gas,Large,USA,USA,TRUE,published,2041364,
