Id,Name,ISIN,Sector,Market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status
,Paccar,US6937181088,Other Industrials,large,USA,USA,false,published
,Panasonic,JP3866800000,Consumer Goods,large,JPN,JPN,false,published
,Pap Y Cart Euro,ES0168561019,Paper,small,ESP,ESP,false,published
,Pepsico,US7134481081,Consumer Goods,large,USA,USA,false,published
,Petrobras,BRPETRACNOR9,Oil & gas,large,BRA,BRA,false,published
,Petrochina,CNE1000003W8,Oil & gas,large,CHN,CHN,false,published
,Philips,NL0000009538,Other Industrials,large,NLD,NLD,false,published
,Phillips 66,US7185461040,Oil & gas,large,USA,USA,false,published
,Pinnacle West Capital,US7234841010,Electricity Utilities,medium,USA,USA,false,published
,Pioneer Natural Resource,US7237871071,Oil & gas,large,USA,USA,false,published
,Posco,KR7005490008,Steel,large,KOR,KOR,false,published
,Press Metal,MYL8869OO009,Aluminium,medium,MYS,MYS,false,published
,Procter & Gamble,US7427181091,Consumer Goods,large,USA,USA,false,published
,Public Service Enterprise Group,US7445731067,Electricity Utilities,large,USA,USA,false,published
,Qantas,AU000000QAN2,Airlines,large,AUS,AUS,false,published
,RWE,DE0007037129,Electricity Utilities,medium,DEU,DEU,false,published
,Red Electrica,ES0173093024,Electricity Utilities,medium,ESP,ESP,false,published
,Reliance Industries,INE002A01018,Oil & gas,large,IND,IND,false,published
,Renault,FR0000131906,Autos,large,FRA,FRA,false,published
,Repsol,ES0173516115,Oil & gas,large,ESP,ESP,false,published
,Rio Tinto,AU000000RIO1,Aluminium,large,AUS,AUS,false,published
,Rolls-Royce,GB00B63H8491,Other Industrials,large,GBR,GBR,false,published
,Rosneft Oil,RU000A0J2Q06,Oil & gas,large,RUS,RUS,false,published
,Royal Dutch Shell,GB00B03MM408,Oil & gas,large,GBR,GBR,false,published
,SK Innovation,KR7096770003,Oil & gas,large,KOR,KOR,false,published
,SSE,GB0007908733,Electricity Utilities,large,GBR,GBR,false,published
,Santos,AU000000STO6,Oil & Gas Distribution,large,AUS,AUS,false,published
,Sappi,ZAE000006284,Paper,large,ZAF,ZAF,false,published
,Sasol,ZAE000006896,Other Basic Materials,large,ZAF,ZAF,false,published
,Semen Indonesia,ID1000106800,Cement,large,IDN,IDN,false,published
,Semirara Mining and Power,PHY7628G1124,Coal Mining,medium,PHL,PHL,false,published
,Sempra Energy,US8168511090,Electricity Utilities,large,USA,USA,false,published
,Severstal,RU0009046510,Steel,large,RUS,RUS,false,published
,Shandong Chenming,CNE100000BK2,Paper,medium,CHN,CHN,false,published
,Shree Cements,INE070A01015,Cement,large,IDN,IDN,false,published
,Siam Cement,TH0003010Z04,Cement,large,THA,THA,false,published
,Siemens,DE0007236101,Other Industrials,large,DEU,DEU,false,published
,Singapore Airlines,SG1V61937297,Airlines,large,SVN,SVN,false,published
,South32,AU000000S320,Aluminium,large,AUS,AUS,false,published
,Southern Company,US8425871071,Electricity Utilities,large,USA,USA,false,published
,Southern Copper,US84265V1052,Other Basic Materials,large,USA,USA,false,published
,Southwest,US8447411088,Airlines,large,USA,USA,false,published
,St Gobain,FR0000125007,Other Industrials,large,FRA,FRA,false,published
,Steel Dynamics,US8581191009,Steel,small,USA,USA,false,published
,Stora Enso,FI0009005961,Paper,medium,FIN,FIN,false,published
,Subaru,"JP3814800003,JP3399750003",Autos,large,JPN,JPN,false,published
,Sumitomo Osaka Cement,JP3400900001,Cement,medium,JPN,JPN,false,published
,Suncor Energy,CA8672241079,Oil & gas,large,CAN,CAN,false,published
,Suzano Papel e Celulose,BRSUZBACNOR0,Paper,medium,BRA,BRA,false,published
,Suzuki,"JP3397200001,JP3397210000",Autos,large,JPN,JPN,false,published
,TATNEFT,RU0009033591,Oil & gas,large,RUS,RUS,false,published
,Taiheiyo Cement,JP3449020001,Cement,medium,JPN,JPN,false,published
,Taiwan Cement,TW0001101004,Cement,medium,TWN,TWN,false,published
,Tata Steel,INE081A01012,Steel,large,IND,IND,false,published
,Teck Resources,CA8787422044,Other Basic Materials,medium,CAN,CAN,false,published
,Tenaga Nasional,MYL5347OO009,Electricity Utilities,large,MYS,MYS,false,published
,Tenaris,LU0156801721,Steel,large,ITA,ITA,false,published
,Tesla,US88160R1014,Autos,large,USA,USA,false,published
,ThyssenKrupp,DE0007500001,Steel,large,DEU,DEU,false,published
,Toray Industries,JP3621000003,Other Basic Materials,large,JPN,JPN,false,published
,Total,FR0000120271,Oil & gas,large,FRA,FRA,false,published
,Toyota,JP3633400001,Autos,large,JPN,JPN,false,published
,TransCanada,CA89353D1078,Oil & Gas Distribution,large,CAN,CAN,false,published
,Turkish Airlines,TRATHYAO91M5,Airlines,medium,TUR,TUR,false,published
,UACJ,JP3826900007,Aluminium,small,JPN,JPN,false,published
,UPM-Kymmene,FI0009005987,Paper,large,FIN,FIN,false,published
,UltraTech Cement,INE481G01011,Cement,large,IND,IND,false,published
,Unilever,NL0000009355,Consumer Goods,large,NLD,NLD,false,published
,United Continental,US9100471096,Airlines,medium,USA,USA,false,published
,United States Steel,US9129091081,Steel,small,USA,USA,false,published
,United Technologies,US9130171096,Other Industrials,large,USA,USA,false,published
,United Tractors,ID1000058407,Other Industrials,large,IDN,IDN,false,published
,Vale,BRVALEACNOR0,Coal Mining,large,BRA,BRA,false,published
,Valero Energy,US91913Y1001,Oil & gas,large,USA,USA,false,published
,Vedanta,INE205A01025,Other Basic Materials,large,IND,IND,false,published
,Vistra Energy,US92840M1027,Electricity Utilities,small,USA,USA,false,published
,Voestalpine,AT0000937503,Steel,medium,AUT,AUT,false,published
,Volkswagen,"DE0007664005,DE0007664039",Autos,large,DEU,DEU,false,published
,Volvo,SE0000115446,Other Industrials,large,SWE,SWE,false,published
,WEC Energy Group,US92939U1060,Electricity Utilities,large,USA,USA,false,published
,Walmart,US9311421039,Services,large,USA,USA,false,published
,Wesfarmers,AU000000WES1,Services,large,AUS,AUS,false,published
,Weyerhaeuser,US9621661043,Services,large,USA,USA,false,published
,Whitehaven Coal,AU000000WHC8,Coal Mining,medium,AUS,AUS,false,published
,Wizz Air,JE00BN574F90,Airlines,small,GBR,GBR,false,published
,Woodside Petroleum,AU000000WPL2,Oil & gas,large,AUS,AUS,false,published
,Woolworths,AU000000WOW2,Services,large,AUS,AUS,false,published
,XCEL Energy,US98389B1008,Electricity Utilities,large,USA,USA,false,published
,YFY,TW0001907004,Paper,small,TWN,TWN,false,published
,Yanzhou Coal Mining,CNE1000004Q8,Coal Mining,large,CHN,CHN,false,published
