id,methodology_version,company_id,Company,Assessment date,Publication date,Level,Internal Notes,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets? ,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy? ,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions? ,Q8L3|Does the company report on Scope 3 emissions? ,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change? ,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions? ,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company have an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
,3,1037,ConocoPhillips,2019-02-19,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
,3,1048,Devon Energy,2019-01-18,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
,3,1049,Diamondback Energy,2019-02-25,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1057,Ecopetrol,2019-03-30,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
,3,1061,Encana,2019-02-28,2019-9,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
,3,1065,Eni,2019-04-05,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,3,1067,EOG Resources,2019-02-26,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
,3,1194,Equinor,2019-03-15,2019-9,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,3,1074,Exxon Mobil,2019-02-27,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
,3,1081,Formosa Petrochemical,2019-06-04,2019-9,2,,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
,3,1141,Gazprom,2019-03-29,2019-9,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
,3,1093,Hess,2019-02-21,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,3,1101,Imperial Oil,2019-02-27,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
,3,1108,JXTG,2018-06-27,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
,3,1118,Lukoil,2019-03-30,2019-9,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
,3,1120,Marathon Oil,2019-03-28,2019-9,2,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1121,Marathon Petroleum,2019-02-28,2019-9,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,3,1297,Neste,2018-09-05,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
,3,1135,Noble Energy,2019-02-19,2019-9,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No
,3,1136,NovaTek,2019-04-01,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
,3,1142,Occidental Petroleum,2018-10-31,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
,3,1143,Oil & Natural Gas,2019-02-11,2019-9,1,,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
,3,1145,OMV,2019-03-29,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,3,1153,Petrobras,2019-06-07,2019-9,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
,3,1154,Petrochina,2019-06-07,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
,3,1156,Phillips 66,2019-02-22,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
,3,1158,Pioneer Natural Resource,2019-02-26,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
,3,1163,PTT,2019-06-07,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
,3,1167,Reliance Industries,2018-06-08,2019-9,1,,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
,3,1169,Repsol,2019-02-28,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,3,1172,Rosneft Oil,2019-03-29,2019-9,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
,3,1173,Royal Dutch Shell,2019-03-14,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
,3,1188,SK Innovation,2019-02-19,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
,3,1199,Suncor Energy,2019-03-01,2019-9,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,3,1298,Targa Resources,2019-03-01,2019-9,0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1206,TATNEFT,2019-03-29,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1216,Total,2019-03-20,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,3,1227,Valero Energy,2019-02-28,2019-9,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1239,Woodside Petroleum,2019-06-07,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
,3,1264,Adaro Energy,2019-03-26,2019-9,0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1266,African Rainbow Minerals,2018-10-31,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
,3,1253,Anglo American,2019-06-07,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,3,1255,ANTAM,2019-04-02,2019-9,1,,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
,3,1260,Banpu,2019-02-22,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
,3,1003,BHP Billiton,2019-04-01,2019-9,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,3,1204,Bukit Asam,2019-04-01,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1010,Bumi,2019-04-30,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1021,China Coal,2018-12-27,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1025,China Shenhua Energy,2019-03-22,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1032,Coal India,2018-11-02,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1050,DMCI Holdings,2019-01-28,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,3,1073,Exxaro Resources,2019-05-07,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No
,3,1089,Glencore,2019-06-07,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,3,1103,Inner Mongolia Yitai Coal,2019-01-30,2019-9,1,,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
