"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"2876","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2006/20061127_2006-152-LGERA-258-Australia_decision-1.pdf","English","23/08/2017","7031","Litigation"
"2875","decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/1994/19941110_1994-86-LGERA-143-Australia_decision.pdf","English","23/08/2017","7032","Litigation"
"2866","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2008/20080924_2008-161-LGERA-423-Australia_decision.pdf","English","23/08/2017","7042","Litigation"
"2865","Initial decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2009/20090622_2009-VCAT-1022-2009-VCAT-2414-Australia_decision.pdf","English","23/08/2017","7044","Litigation"
"2861","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2009/20090925_2009-VCAT-1946_decision.pdf","English","23/08/2017","7048","Litigation"
"2856","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2004/20041029_2004-140-LGERA-100_decision.pdf","English","23/08/2017","7056","Litigation"
"2851","Decision","https://www.informea.org/sites/default/files/court-decisions/COU-156702.pdf","English","11/04/2016","7064","Litigation"
"2850","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070201_2007-161-LGERA-1_decision.pdf","English","23/08/2017","7065","Litigation"
"2847","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2006/20060606_2006-151-LGERA-1_decision.pdf","English","23/08/2017","7068","Litigation"
"2843","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2006/20060616_2006-FCA-736_decision-1.pdf","English","11/04/2016","7072","Litigation"
"2841","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20100120_2010-VCAT-60_decision.pdf","English","23/08/2017","7076","Litigation"
